method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
ThreeSigma,0.1,0,240,24,1.0,0.9643478260869565,0.0002152679953724146,0.00015031197108328342,0.0006317510269582272,0.0026252249954268336,vertebral,T1,I
ThreeSigma,0.1,1,240,24,0.5,0.8973913043478261,0.00013523700181394815,9.268801659345627e-05,4.367996007204056e-05,0.0014342260546982288,vertebral,T1,I
ThreeSigma,0.1,2,240,24,0.5,0.7913043478260868,0.00011230399832129478,8.76809936016798e-05,4.0414975956082344e-05,0.0013611610047519207,vertebral,T1,I
ThreeSigma,0.1,3,240,24,0.5,0.766086956521739,0.00016257597599178553,0.00011354300659149885,4.727498162537813e-05,0.0016662839916534722,vertebral,T1,I
ThreeSigma,0.1,4,240,24,1.0,0.8660869565217391,0.00012072501704096794,8.396495832130313e-05,3.671098966151476e-05,0.0013968919520266354,vertebral,T1,I
ThreeSigma,0.1,5,240,24,0.5,0.9330434782608694,0.00011173804523423314,0.00022360298316925764,0.0003907610080204904,0.007162327005062252,vertebral,T1,I
ThreeSigma,0.1,6,240,24,1.0,0.84,0.00014691700926050544,8.188799256458879e-05,3.9830978494137526e-05,0.001482997031416744,vertebral,T1,I
ThreeSigma,0.1,7,240,24,0.5,0.9513043478260867,0.00011475401697680354,8.735799929127097e-05,3.819598350673914e-05,0.0013687610044144094,vertebral,T1,I
ThreeSigma,0.1,8,240,24,1.0,0.9652173913043477,0.00010467000538483262,8.667097426950932e-05,3.466597991064191e-05,0.0021303020184859633,vertebral,T1,I
ThreeSigma,0.1,9,240,24,1.0,0.9652173913043477,0.00012535398127511144,8.1827980466187e-05,3.798800753429532e-05,0.0012754349736496806,vertebral,T1,I
ThreeSigma,0.1,10,240,24,0.5,0.8791304347826084,0.0001033080043271184,7.736397674307227e-05,3.394298255443573e-05,0.0015829100157134235,vertebral,T1,I
ThreeSigma,0.1,11,240,24,0.5,0.8573913043478261,0.00011954602086916566,8.133298251777887e-05,3.729801392182708e-05,0.0015985840000212193,vertebral,T1,I
ThreeSigma,0.1,12,240,24,0.5,0.9078260869565216,0.00017207098426297307,9.186199167743325e-05,4.1163002606481314e-05,0.0014148899936117232,vertebral,T1,I
ThreeSigma,0.1,13,240,24,1.0,0.8608695652173911,0.00011512305354699492,8.079601684585214e-05,3.3240008633583784e-05,0.0013013629941269755,vertebral,T1,I
ThreeSigma,0.1,14,240,24,1.0,0.9565217391304346,0.0002599569852463901,9.493500692769885e-05,6.553798448294401e-05,0.0016181590035557747,vertebral,T1,I
ThreeSigma,0.1,15,240,24,1.0,0.9156521739130434,0.00011065095895901322,8.116103708744049e-05,3.510800888761878e-05,0.001282895973417908,vertebral,T1,I
ThreeSigma,0.1,16,240,24,1.0,0.9713043478260868,0.00011466199066489935,9.067397331818938e-05,3.735994687303901e-05,0.0013762149610556662,vertebral,T1,I
ThreeSigma,0.1,17,240,24,0.5,0.9034782608695651,0.0002809150028042495,0.00012657599290832877,3.977800952270627e-05,0.005391067999880761,vertebral,T1,I
ThreeSigma,0.1,18,240,24,1.0,0.9234782608695651,0.00011075002839788795,8.107098983600736e-05,4.142901161685586e-05,0.0025206549908034503,vertebral,T1,I
ThreeSigma,0.1,19,240,24,0.5,0.7721739130434783,0.00012182199861854315,8.356600301340222e-05,3.778096288442612e-05,0.001306826015934348,vertebral,T1,I
ThreeSigma,0.1,20,240,24,0.5,0.9182608695652172,0.00010656396625563502,7.918296614661813e-05,3.506301436573267e-05,0.0011975500383414328,vertebral,T1,I
ThreeSigma,0.1,21,240,24,0.5,0.8469565217391304,0.00010767497587949038,7.770303636789322e-05,3.423099406063557e-05,0.0011613579699769616,vertebral,T1,I
ThreeSigma,0.1,22,240,24,1.0,0.9426086956521739,0.00010183599079027772,0.00038184598088264465,3.432400990277529e-05,0.0016252200002782047,vertebral,T1,I
ThreeSigma,0.1,23,240,24,0.5,0.7730434782608695,0.0001068849815055728,9.61640034802258e-05,3.948301309719682e-05,0.001563750032801181,vertebral,T1,I
