method,p,rep,rho,rho_tilde,dataset,tier,method_class
ThreeSigma,0.01,0,0.0,,vertebral,T1,I
ThreeSigma,0.01,1,0.0,,vertebral,T1,I
ThreeSigma,0.01,2,0.0,,vertebral,T1,I
ThreeSigma,0.01,3,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,4,0.0,,vertebral,T1,I
ThreeSigma,0.01,5,0.0,,vertebral,T1,I
ThreeSigma,0.01,6,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,7,0.0,,vertebral,T1,I
ThreeSigma,0.01,8,1.0,,vertebral,T1,I
ThreeSigma,0.01,9,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,10,0.0,,vertebral,T1,I
ThreeSigma,0.01,11,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,12,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,13,1.0,,vertebral,T1,I
ThreeSigma,0.01,14,0.6666666666666666,,vertebral,T1,I
ThreeSigma,0.01,15,0.0,,vertebral,T1,I
ThreeSigma,0.01,16,1.0,,vertebral,T1,I
ThreeSigma,0.01,17,0.0,,vertebral,T1,I
ThreeSigma,0.01,18,0.0,,vertebral,T1,I
ThreeSigma,0.01,19,1.0,,vertebral,T1,I
ThreeSigma,0.05,0,1.0,0.6293706293706295,vertebral,T1,I
ThreeSigma,0.05,1,1.0,0.6293706293706295,vertebral,T1,I
ThreeSigma,0.05,2,0.0,0.9440559440559443,vertebral,T1,I
ThreeSigma,0.05,3,0.0,0.5944055944055945,vertebral,T1,I
ThreeSigma,0.05,4,1.0,0.8461538461538463,vertebral,T1,I
ThreeSigma,0.05,5,0.0,0.8671328671328673,vertebral,T1,I
ThreeSigma,0.05,6,1.0,0.9370629370629372,vertebral,T1,I
ThreeSigma,0.05,7,0.0,0.9090909090909092,vertebral,T1,I
ThreeSigma,0.05,8,0.0,0.4895104895104896,vertebral,T1,I
ThreeSigma,0.05,9,0.0,0.8391608391608393,vertebral,T1,I
ThreeSigma,0.05,10,1.0,0.7552447552447553,vertebral,T1,I
ThreeSigma,0.05,11,0.0,0.7412587412587414,vertebral,T1,I
ThreeSigma,0.05,12,1.0,0.6993006993006995,vertebral,T1,I
ThreeSigma,0.05,13,1.0,0.4685314685314686,vertebral,T1,I
ThreeSigma,0.05,14,0.0,0.9020979020979022,vertebral,T1,I
ThreeSigma,0.05,15,1.0,0.6853146853146854,vertebral,T1,I
ThreeSigma,0.05,16,0.0,0.7412587412587414,vertebral,T1,I
ThreeSigma,0.05,17,1.0,0.8111888111888113,vertebral,T1,I
ThreeSigma,0.05,18,0.0,0.5804195804195805,vertebral,T1,I
ThreeSigma,0.05,19,0.0,0.9790209790209792,vertebral,T1,I
