method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset,part,n_vs_psi
MAD,0.02,0,5000,100,0.7,0.7712458705359861,0.004750240943394601,0.0004035889869555831,0.006659153965301812,pendigits,A,
MAD,0.02,1,5000,100,1.0,0.9296630768360289,0.005257311975583434,0.0004254319937899709,0.006995854084379971,pendigits,A,
MAD,0.02,2,5000,100,1.0,0.9221599545353879,0.004874711972661316,0.0004280789289623499,0.0065624460112303495,pendigits,A,
MAD,0.02,3,5000,100,1.0,0.8222680692323538,0.004711873014457524,0.0004127100110054016,0.0065387460635975,pendigits,A,
MAD,0.02,4,5000,100,1.0,0.916393527314426,0.006011018063873053,0.0003896160051226616,0.007688015000894666,pendigits,A,
MAD,0.02,5,5000,100,0.1,0.6030687789142315,0.00575075508095324,0.00041653693187981844,0.007522811065427959,pendigits,A,
MAD,0.02,6,5000,100,1.0,0.6192212501437807,0.005098908906802535,0.00040588504634797573,0.006840778049081564,pendigits,A,
MAD,0.02,7,5000,100,1.0,0.8936612277658265,0.005328197032213211,0.0003812159411609173,0.0069949389435350895,pendigits,A,
MAD,0.02,8,5000,100,1.0,0.955410206630815,0.005498370970599353,0.000473644002340734,0.007352616055868566,pendigits,A,
MAD,0.02,9,5000,100,1.0,0.964995875980246,0.004747992963530123,0.0004088140558451414,0.006463921046815813,pendigits,A,
MAD,0.02,10,5000,100,0.9,0.8185715539860506,0.004581043031066656,0.0004119600635021925,0.006305432063527405,pendigits,A,
MAD,0.02,11,5000,100,0.6,0.5561194184493152,0.005122661008499563,0.0004356219433248043,0.006832092069089413,pendigits,A,
MAD,0.02,12,5000,100,1.0,0.949624088079548,0.007433061022311449,0.000382883008569479,0.009064789046533406,pendigits,A,
MAD,0.02,13,5000,100,1.0,0.8056187400402416,0.004860653076320887,0.00042626995127648115,0.007088363985531032,pendigits,A,
MAD,0.02,14,5000,100,1.0,0.756090807716979,0.004680959973484278,0.00035030499566346407,0.006140882964245975,pendigits,A,
MAD,0.02,15,5000,100,1.0,0.9761087895160311,0.005175256985239685,0.00041948503348976374,0.006785011966712773,pendigits,A,
MAD,0.02,16,5000,100,1.0,0.9342016810929961,0.004729644977487624,0.00039711291901767254,0.006461189012043178,pendigits,A,
MAD,0.02,17,5000,100,1.0,0.943236174733743,0.0045759889762848616,0.00041515694465488195,0.006199797964654863,pendigits,A,
MAD,0.02,18,5000,100,1.0,0.8795502615073987,0.0048432559706270695,0.0003490500384941697,0.006278923945501447,pendigits,A,
MAD,0.02,19,5000,100,1.0,0.842085189685425,0.005275101982988417,0.0004600950051099062,0.007190905977040529,pendigits,A,
MAD,0.02,20,5000,100,1.0,0.9330079487837682,0.005130139994435012,0.0004023130750283599,0.0066759499022737145,pendigits,A,
MAD,0.02,21,5000,100,0.4,0.673511110158105,0.004932277020998299,0.0004299499560147524,0.006550668040290475,pendigits,A,
MAD,0.02,22,5000,100,1.0,0.8877675637972282,0.004828948061913252,0.0003815350355580449,0.006529547972604632,pendigits,A,
MAD,0.02,23,5000,100,0.8,0.8636860512561657,0.0055035429541021585,0.00044124899432063103,0.007108698016963899,pendigits,A,
MAD,0.02,24,5000,100,0.5,0.7087598723198907,0.004788986057974398,0.00038668897468596697,0.006334759993478656,pendigits,A,
MAD,0.02,25,5000,100,1.0,0.9543659923714392,0.004789573955349624,0.00038550200406461954,0.00634742493275553,pendigits,A,
MAD,0.02,26,5000,100,1.0,0.8609306258462904,0.0046037069987505674,0.00036442698910832405,0.006153743946924806,pendigits,A,
MAD,0.02,27,5000,100,1.0,0.9474824391521076,0.004691935027949512,0.00315564195625484,0.009067418053746223,pendigits,A,
MAD,0.02,28,5000,100,1.0,0.9610776476310839,0.005721173947677016,0.0007150040473788977,0.008709432906471193,pendigits,A,
MAD,0.02,29,5000,100,1.0,0.950835497368225,0.005071879015304148,0.0004907910479232669,0.006978673045523465,pendigits,A,
MAD,0.05,0,5000,250,1.0,0.9761986762599124,0.0067841330310329795,0.0006653059972450137,0.008767916006036103,pendigits,A,
MAD,0.05,1,5000,250,1.0,0.9516579653998988,0.004956707009114325,0.0006125960499048233,0.006990628084167838,pendigits,A,
MAD,0.05,2,5000,250,1.0,0.8739048518614279,0.004856926971115172,0.0006356709636747837,0.006858679000288248,pendigits,A,
MAD,0.05,3,5000,250,1.0,0.9728355917180224,0.004678155994042754,0.0005705350777134299,0.006499739014543593,pendigits,A,
MAD,0.05,4,5000,250,1.0,0.8652778021155976,0.004826652933843434,0.0005918690003454685,0.006693202070891857,pendigits,A,
MAD,0.05,5,5000,250,0.4,0.7071690088136807,0.004565285984426737,0.0005560400895774364,0.0064434719970449805,pendigits,A,
MAD,0.05,6,5000,250,1.0,0.9683323922313781,0.004945004009641707,0.0006167830433696508,0.006842515082098544,pendigits,A,
MAD,0.05,7,5000,250,1.0,0.9786537903948107,0.0047894270392134786,0.0005688649835065007,0.0066770120756700635,pendigits,A,
MAD,0.05,8,5000,250,1.0,0.9689837076417163,0.005594325019046664,0.000596461002714932,0.0075457439525052905,pendigits,A,
MAD,0.05,9,5000,250,1.0,0.8675608622514445,0.004418279975652695,0.0005575789837166667,0.006589616066776216,pendigits,A,
MAD,0.05,10,5000,250,0.88,0.9143347747269335,0.00508933502715081,0.0005155469989404082,0.006838144967332482,pendigits,A,
MAD,0.05,11,5000,250,1.0,0.9934474345148148,0.004604595946148038,0.0007056629983708262,0.006753618945367634,pendigits,A,
MAD,0.05,12,5000,250,0.6428571428571429,0.8139932211921801,0.004989724024198949,0.0005733229918405414,0.007022654986940324,pendigits,A,
MAD,0.05,13,5000,250,0.92,0.9223585814078941,0.0057959710247814655,0.0007554690819233656,0.007783000008203089,pendigits,A,
MAD,0.05,14,5000,250,0.7169811320754716,0.8592687195223346,0.004807661985978484,0.0004973950562998652,0.006649598944932222,pendigits,A,
MAD,0.05,15,5000,250,1.0,0.9494351232756498,0.004724723054096103,0.000683148973621428,0.006811033934354782,pendigits,A,
MAD,0.05,16,5000,250,1.0,0.923021538193777,0.004946387023665011,0.0005240699974820018,0.006705660023726523,pendigits,A,
MAD,0.05,17,5000,250,1.0,0.9473692539613521,0.004721199977211654,0.000543376081623137,0.006632158998399973,pendigits,A,
MAD,0.05,18,5000,250,1.0,0.9859612832830201,0.0054625869961455464,0.0005272179841995239,0.007313998066820204,pendigits,A,
MAD,0.05,19,5000,250,1.0,0.9243221035520232,0.004725234932266176,0.0004944180836901069,0.006460551987402141,pendigits,A,
MAD,0.05,20,5000,250,1.0,0.9140882486543378,0.004509379039518535,0.0006642310181632638,0.006547756027430296,pendigits,A,
MAD,0.05,21,5000,250,1.0,0.984286963409574,0.004849318997003138,0.0005595620023086667,0.006595206912606955,pendigits,A,
MAD,0.05,22,5000,250,0.88,0.8954074122928357,0.005280197015963495,0.0005138569977134466,0.007144123082980514,pendigits,A,
