method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,3,0.05,2.581988897471611,0,214,10,0.0,-0.17073488132934914,0.008342146058566868,0.002883029985241592,0.01353522704448551,glass
LOF,3,0.05,2.581988897471611,1,214,10,0.0,0.24924127290882647,0.004824692034162581,0.002564489026553929,0.008540551993064582,glass
LOF,3,0.05,2.581988897471611,2,214,10,0.0,-0.36744940443602475,0.004866315983235836,0.0029800350312143564,0.009842128027230501,glass
LOF,3,0.05,2.581988897471611,3,214,10,0.0,-0.5081391846066426,0.004451685003004968,0.0024972270475700498,0.008014438091777265,glass
LOF,3,0.05,2.581988897471611,4,214,10,0.0,-0.10975609756097562,0.004408936016261578,0.002609609975479543,0.008128882036544383,glass
LOF,3,0.05,2.581988897471611,5,214,10,0.0,0.7987953376480265,0.0049483209149912,0.002934784977696836,0.009374891989864409,glass
LOF,3,0.05,2.581988897471611,6,214,10,0.0,-0.04242424242424241,0.004451598972082138,0.0034858499420806766,0.00902869098354131,glass
LOF,3,0.05,2.581988897471611,7,214,10,0.0,0.30444180048452957,0.005526514956727624,0.0028050600085407495,0.009670082945376635,glass
LOF,3,0.05,2.581988897471611,8,214,10,0.0,0.1538643637241659,0.004563993075862527,0.0028608149150386453,0.008461375953629613,glass
LOF,3,0.05,2.581988897471611,9,214,10,0.0,0.13981827504641486,0.004544678959064186,0.0028745700838044286,0.008526365971192718,glass
LOF,3,0.05,2.581988897471611,10,214,10,0.0,0.5940401295066863,0.0049209840362891555,0.003069782047532499,0.009162734029814601,glass
LOF,3,0.05,2.581988897471611,11,214,10,0.0,0.14111491740216522,0.005024718004278839,0.0029375560116022825,0.009355828049592674,glass
LOF,3,0.05,2.581988897471611,12,214,10,0.0,0.370433893288318,0.004780293093062937,0.004080422921106219,0.01008976309094578,glass
LOF,3,0.05,2.581988897471611,13,214,10,0.0,0.5487906899871938,0.004768330953083932,0.0028601200319826603,0.008820647955872118,glass
LOF,3,0.05,2.581988897471611,14,214,10,0.0,0.5106406566912542,0.004564470029436052,0.002602427965030074,0.008363964967429638,glass
LOF,3,0.05,2.581988897471611,15,214,10,0.0,-0.2500046476608327,0.004626030917279422,0.0027324710972607136,0.008554504020139575,glass
LOF,3,0.05,2.581988897471611,16,214,10,0.0,-0.13373921960961418,0.004622956970706582,0.002521783928386867,0.00826617598067969,glass
LOF,3,0.05,2.581988897471611,17,214,10,1.0,0.16775364516494487,0.004505753982812166,0.0027553780237212777,0.008416431024670601,glass
LOF,3,0.05,2.581988897471611,18,214,10,1.0,0.36474332620803873,0.00455502700060606,0.0024830199545249343,0.008033991092815995,glass
LOF,3,0.05,2.581988897471611,19,214,10,0.0,0.03647433262080388,0.004068684997037053,0.0023762279888615012,0.007635521003976464,glass
LOF,3,0.05,2.581988897471611,20,214,10,0.0,0.7173285415424762,0.00452472607139498,0.0027049550553783774,0.008444548002444208,glass
LOF,3,0.05,2.581988897471611,21,214,10,0.0,-0.3323470256441984,0.004578251042403281,0.002776375040411949,0.00849519798066467,glass
LOF,3,0.05,2.581988897471611,22,214,10,0.0,0.0186392939072161,0.004725918057374656,0.002655318006873131,0.008492929977364838,glass
LOF,3,0.05,2.581988897471611,23,214,10,0.0,-0.5092407888860745,0.004480634001083672,0.0025449490640312433,0.00814266293309629,glass
LOF,3,0.05,2.581988897471611,24,214,10,1.0,-0.14111491740216522,0.004500034963712096,0.002637816942296922,0.008193721063435078,glass
LOF,3,0.05,2.581988897471611,25,214,10,1.0,-0.03077054173147948,0.005317789036780596,0.0026285190833732486,0.009491909993812442,glass
