method,p,rep,threshold_pct,n_full,n_sample,rho,rho_tilde,time_total_s,dataset,part
ThreeSigma,0.1,0,0.1,240,24,1.0,0.9643478260869565,0.0025039099855348468,vertebral,A
ThreeSigma,0.1,1,0.1,240,24,0.5,0.8973913043478261,0.0010218139505013824,vertebral,A
ThreeSigma,0.1,2,0.1,240,24,0.5,0.7913043478260868,0.0008425130508840084,vertebral,A
ThreeSigma,0.1,3,0.1,240,24,0.5,0.766086956521739,0.000858610961586237,vertebral,A
ThreeSigma,0.1,4,0.1,240,24,1.0,0.8660869565217391,0.0008152199443429708,vertebral,A
ThreeSigma,0.1,5,0.1,240,24,0.5,0.9330434782608694,0.0010707060573622584,vertebral,A
ThreeSigma,0.1,6,0.1,240,24,1.0,0.84,0.0008550269994884729,vertebral,A
ThreeSigma,0.1,7,0.1,240,24,0.5,0.9513043478260867,0.0008574019884690642,vertebral,A
ThreeSigma,0.1,8,0.1,240,24,1.0,0.9652173913043477,0.0008716569282114506,vertebral,A
ThreeSigma,0.1,9,0.1,240,24,1.0,0.9652173913043477,0.0008751890854910016,vertebral,A
ThreeSigma,0.1,10,0.1,240,24,0.5,0.8791304347826084,0.00076498300768435,vertebral,A
ThreeSigma,0.1,11,0.1,240,24,0.5,0.8573913043478261,0.0008873599581420422,vertebral,A
ThreeSigma,0.1,12,0.1,240,24,0.5,0.9078260869565216,0.0007607699371874332,vertebral,A
ThreeSigma,0.1,13,0.1,240,24,1.0,0.8608695652173911,0.0007631060434505343,vertebral,A
ThreeSigma,0.1,14,0.1,240,24,1.0,0.9565217391304346,0.0007653920911252499,vertebral,A
ThreeSigma,0.1,15,0.1,240,24,1.0,0.9156521739130434,0.0008197249844670296,vertebral,A
ThreeSigma,0.1,16,0.1,240,24,1.0,0.9713043478260868,0.0009259110083803535,vertebral,A
ThreeSigma,0.1,17,0.1,240,24,0.5,0.9034782608695651,0.0007848140085116029,vertebral,A
ThreeSigma,0.1,18,0.1,240,24,1.0,0.9234782608695651,0.0008797049522399902,vertebral,A
ThreeSigma,0.1,19,0.1,240,24,0.5,0.7721739130434783,0.0008054469944909215,vertebral,A
ThreeSigma,0.1,20,0.1,240,24,0.5,0.9182608695652172,0.0007785910274833441,vertebral,A
ThreeSigma,0.1,21,0.1,240,24,0.5,0.8469565217391304,0.0007790470262989402,vertebral,A
ThreeSigma,0.1,22,0.1,240,24,1.0,0.9426086956521739,0.0007696920074522495,vertebral,A
ThreeSigma,0.1,23,0.1,240,24,0.5,0.7730434782608695,0.000762414070777595,vertebral,A
ThreeSigma,0.1,24,0.1,240,24,1.0,0.6643478260869564,0.0007583410479128361,vertebral,A
ThreeSigma,0.1,25,0.1,240,24,0.0,0.8191304347826085,0.0007887349929660559,vertebral,A
ThreeSigma,0.1,26,0.1,240,24,0.5,0.9434782608695651,0.0008121320279315114,vertebral,A
ThreeSigma,0.1,27,0.1,240,24,0.5,0.9034782608695651,0.0010938959894701838,vertebral,A
ThreeSigma,0.1,28,0.1,240,24,0.5,0.8434782608695651,0.000808218028396368,vertebral,A
ThreeSigma,0.1,29,0.1,240,24,0.5,0.9295652173913044,0.0008045550202950835,vertebral,A
ThreeSigma,0.1,30,0.1,240,24,0.5,0.8991304347826086,0.0007777319988235831,vertebral,A
ThreeSigma,0.1,31,0.1,240,24,0.5,0.8227875819640965,0.0007766939233988523,vertebral,A
ThreeSigma,0.1,32,0.1,240,24,0.5,0.8617391304347826,0.0007655679946765304,vertebral,A
ThreeSigma,0.1,33,0.1,240,24,1.0,0.9739130434782608,0.0007636479567736387,vertebral,A
ThreeSigma,0.1,34,0.1,240,24,1.0,0.8504347826086956,0.0008519069524481893,vertebral,A
ThreeSigma,0.1,35,0.1,240,24,1.0,0.8869565217391304,0.0008058869279921055,vertebral,A
ThreeSigma,0.1,36,0.1,240,24,1.0,0.9504132231404958,0.0007673960644751787,vertebral,A
ThreeSigma,0.1,37,0.1,240,24,0.5,0.9078260869565216,0.0007623099954798818,vertebral,A
ThreeSigma,0.1,38,0.1,240,24,1.0,0.9052173913043478,0.0007593139307573438,vertebral,A
ThreeSigma,0.1,39,0.1,240,24,0.5,0.8973913043478261,0.0007590700406581163,vertebral,A
ThreeSigma,0.1,40,0.1,240,24,0.5,0.9634782608695651,0.000775375054217875,vertebral,A
ThreeSigma,0.1,41,0.1,240,24,1.0,0.8965217391304346,0.0008106740424409509,vertebral,A
ThreeSigma,0.1,42,0.1,240,24,1.0,0.9513043478260867,0.0007951029110699892,vertebral,A
ThreeSigma,0.1,43,0.1,240,24,1.0,0.9486956521739129,0.0007794270059093833,vertebral,A
ThreeSigma,0.1,44,0.1,240,24,0.5,0.8660869565217391,0.0007639039540663362,vertebral,A
ThreeSigma,0.1,45,0.1,240,24,0.5,0.9478260869565217,0.0007676329696550965,vertebral,A
ThreeSigma,0.1,46,0.1,240,24,0.5,0.96,0.0007570420857518911,vertebral,A
ThreeSigma,0.1,47,0.1,240,24,0.5,0.7999999999999999,0.0007581760874018073,vertebral,A
ThreeSigma,0.1,48,0.1,240,24,0.5,0.8791304347826084,0.0010566760320216417,vertebral,A
ThreeSigma,0.1,49,0.1,240,24,0.5,0.5973913043478261,0.0010893050348386168,vertebral,A
BoxPlot,0.1,0,0.1,240,24,0.5,0.5872202195147035,0.0012845959281548858,vertebral,A
BoxPlot,0.1,1,0.1,240,24,0.15384615384615385,0.4978213403988642,0.0012933090329170227,vertebral,A
BoxPlot,0.1,2,0.1,240,24,0.5,0.5,0.0013593010371550918,vertebral,A
BoxPlot,0.1,3,0.1,240,24,0.5,0.7980238751210129,0.001171887037344277,vertebral,A
BoxPlot,0.1,4,0.1,240,24,0.15384615384615385,0.6595051082089965,0.0011410430306568742,vertebral,A
BoxPlot,0.1,5,0.1,240,24,0.5,0.5410519780170145,0.0013059150660410523,vertebral,A
BoxPlot,0.1,6,0.1,240,24,0.5,0.7063774289747291,0.0012063999893143773,vertebral,A
BoxPlot,0.1,7,0.1,240,24,0.5,0.5613766893123635,0.0011964699951931834,vertebral,A
BoxPlot,0.1,8,0.1,240,24,0.15384615384615385,0.7223151185146153,0.0012858459958806634,vertebral,A
BoxPlot,0.1,9,0.1,240,24,1.0,0.8828289014497336,0.0011650060769170523,vertebral,A
BoxPlot,0.1,10,0.1,240,24,0.15384615384615385,0.7223151185146153,0.001159635023213923,vertebral,A
BoxPlot,0.1,11,0.1,240,24,0.15384615384615385,0.7223151185146153,0.0016410540556535125,vertebral,A
BoxPlot,0.1,12,0.1,240,24,0.15384615384615385,0.3942663926154919,0.0013652269262820482,vertebral,A
BoxPlot,0.1,13,0.1,240,24,1.0,0.8851582653058013,0.0011635520495474339,vertebral,A
BoxPlot,0.1,14,0.1,240,24,0.5,0.8043985903638537,0.0011557710822671652,vertebral,A
BoxPlot,0.1,15,0.1,240,24,0.5,0.575612566921185,0.0011714129941537976,vertebral,A
BoxPlot,0.1,16,0.1,240,24,1.0,0.675303252441909,0.0011451059253886342,vertebral,A
BoxPlot,0.1,17,0.1,240,24,0.15384615384615385,0.6026258331144146,0.0011879800586029887,vertebral,A
BoxPlot,0.1,18,0.1,240,24,1.0,0.8342976876265135,0.001150186057202518,vertebral,A
BoxPlot,0.1,19,0.1,240,24,1.0,1.0,0.0011517669772729278,vertebral,A
BoxPlot,0.1,20,0.1,240,24,0.5,0.45274102079395084,0.001150849973782897,vertebral,A
BoxPlot,0.1,21,0.1,240,24,0.0,-0.15318788335166178,0.0011936569353565574,vertebral,A
BoxPlot,0.1,22,0.1,240,24,1.0,0.5767708152447926,0.0012193259317427874,vertebral,A
BoxPlot,0.1,23,0.1,240,24,0.0,0.3201558234181138,0.0011651350650936365,vertebral,A
BoxPlot,0.1,24,0.1,240,24,0.5,0.3580067582064623,0.0014378229388967156,vertebral,A
BoxPlot,0.1,25,0.1,240,24,0.15384615384615385,-0.06281001030561872,0.0011829000432044268,vertebral,A
BoxPlot,0.1,26,0.1,240,24,0.5,0.5,0.001147754956036806,vertebral,A
BoxPlot,0.1,27,0.1,240,24,0.5,0.4484536082474227,0.0011409809812903404,vertebral,A
BoxPlot,0.1,28,0.1,240,24,1.0,1.0,0.0011385229881852865,vertebral,A
BoxPlot,0.1,29,0.1,240,24,0.0,0.8176067134798324,0.001152312965132296,vertebral,A
