method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
ThreeSigma,I,0.01,0,286048,2860,0.9774696707105719,0.9990068076506171,0.1453512489097193,0.004022879060357809,0.1453512489097193,0.1539120189845562,covertype
ThreeSigma,I,0.01,1,286048,2860,0.975609756097561,0.9988014851703507,0.07078073197044432,0.007495191995985806,0.07078073197044432,0.08537391992285848,covertype
ThreeSigma,I,0.01,2,286048,2860,0.9740034662045061,0.9982656736325178,0.06065055704675615,0.001980684930458665,0.06065055704675615,0.06525064108427614,covertype
ThreeSigma,I,0.01,3,286048,2860,0.9335664335664335,0.9978121036859285,0.07477076794020832,0.003260376979596913,0.07477076794020832,0.08052895998116583,covertype
ThreeSigma,I,0.01,4,286048,2860,0.956369982547993,0.9986048116252336,0.04965372697915882,0.0020645190961658955,0.04965372697915882,0.054525456042028964,covertype
ThreeSigma,I,0.01,5,286048,2860,0.9755244755244755,0.9992941041034741,0.06694710091687739,0.00245239504147321,0.06694710091687739,0.07226050994358957,covertype
ThreeSigma,I,0.01,6,286048,2860,0.9773123909249564,0.998952347629379,0.052668144926428795,0.0032082319958135486,0.052668144926428795,0.05851295904722065,covertype
ThreeSigma,I,0.01,7,286048,2860,0.9405594405594405,0.9977129529409948,0.06367447297088802,0.005409811972640455,0.06367447297088802,0.07182707299944013,covertype
ThreeSigma,I,0.01,8,286048,2860,0.9738219895287958,0.9982861147024698,0.06072931794915348,0.0026652420638129115,0.06072931794915348,0.06668103102128953,covertype
ThreeSigma,I,0.01,9,286048,2860,0.9458987783595113,0.9984050820016933,0.045280035003088415,0.0025406719651073217,0.045280035003088415,0.0504689859226346,covertype
ThreeSigma,I,0.05,0,286048,14302,0.9926599091226844,0.9997475845730015,0.047553075943142176,0.009295543073676527,0.047553075943142176,0.0638438219903037,covertype
ThreeSigma,I,0.05,1,286048,14302,0.9972027972027973,0.9996302337273261,0.05391400295775384,0.007127408985979855,0.05391400295775384,0.06651220994535834,covertype
ThreeSigma,I,0.05,2,286048,14302,0.9828731212862636,0.9994990863843753,0.04999428696464747,0.01347204193007201,0.04999428696464747,0.0731411890592426,covertype
ThreeSigma,I,0.05,3,286048,14302,0.9842931937172775,0.9995235636295438,0.08053344499785453,0.021945700980722904,0.08053344499785453,0.13250629196409136,covertype
ThreeSigma,I,0.05,4,286048,14302,0.9909154437456325,0.9997238468160345,0.07484441401902586,0.0854984219186008,0.07484441401902586,0.229467268101871,covertype
ThreeSigma,I,0.05,5,286048,14302,0.9825174825174825,0.9995889408382214,0.06424212304409593,0.016215731971897185,0.06424212304409593,0.09776400495320559,covertype
ThreeSigma,I,0.05,6,286048,14302,0.9898636840265641,0.9995816416620781,0.04291827301494777,0.01772399409674108,0.04291827301494777,0.07174126000609249,covertype
ThreeSigma,I,0.05,7,286048,14302,0.964697658161482,0.9994461216053113,0.0608301090542227,0.012174091069027781,0.0608301090542227,0.08120911801233888,covertype
ThreeSigma,I,0.05,8,286048,14302,0.9836293974225009,0.9995634349073427,0.05609236704185605,0.012601690017618239,0.05609236704185605,0.07541959208901972,covertype
ThreeSigma,I,0.05,9,286048,14302,0.978397212543554,0.9995895123079676,0.04535988497082144,0.010689337039366364,0.04535988497082144,0.06268148601520807,covertype
ThreeSigma,I,0.1,0,286048,28604,0.9980786026200873,0.999934476601766,0.046183372964151204,0.019701234064996243,0.046183372964151204,0.07628015603404492,covertype
ThreeSigma,I,0.1,1,286048,28604,0.9875939192731085,0.9997135871215047,0.05031953298021108,0.020023319986648858,0.05031953298021108,0.08247076196130365,covertype
ThreeSigma,I,0.1,2,286048,28604,0.9902166317260657,0.9998322080545655,0.05703888996504247,0.04229694802779704,0.05703888996504247,0.12215438205748796,covertype
ThreeSigma,I,0.1,3,286048,28604,0.9898601398601399,0.9998470516387472,0.08332237100694329,0.11472486902493984,0.08332237100694329,0.27450440893881023,covertype
