method,p,rep,n_full,n_sample,rho_srs,rho_tilde_srs,rho_str,rho_tilde_str,rho_str_km,rho_tilde_str_km,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.05,0,7200,360,0.9166666666666666,0.9838711046482029,0.9722222222222222,0.9932056089600235,0.8611111111111112,0.9854090990337925,1.6325715519487858,,annthyroid,T2,I
ThreeSigma,0.05,1,7200,360,0.9444444444444444,0.9927554544732169,0.8108108108108109,0.9482703118880756,0.9722222222222222,0.9935311158629816,1.4916320000193082,,annthyroid,T2,I
ThreeSigma,0.05,2,7200,360,0.8888888888888888,0.9604126715314456,0.9166666666666666,0.9846601591161949,0.8888888888888888,0.9942758991553137,1.0053733579698019,,annthyroid,T2,I
ThreeSigma,0.05,3,7200,360,0.8611111111111112,0.9659512437945839,0.8611111111111112,0.9822380904950605,0.9444444444444444,0.992986646753803,1.5086012280080467,,annthyroid,T2,I
ThreeSigma,0.05,4,7200,360,1.0,0.9946775653739619,0.7397260273972602,0.9596360841060518,0.9166666666666666,0.9879703488419764,1.1703699339996092,,annthyroid,T2,I
ThreeSigma,0.05,5,7200,360,0.9166666666666666,0.9642869774365462,0.7777777777777778,0.9595272765896093,0.9722222222222222,0.9955345570892448,0.887886363954749,,annthyroid,T2,I
ThreeSigma,0.05,6,7200,360,0.9066666666666666,0.9822756630373879,0.8918918918918919,0.9893848661403619,0.9722222222222222,0.9918203062724451,0.5349653680459596,,annthyroid,T2,I
ThreeSigma,0.05,7,7200,360,0.9866666666666667,0.9924447675238791,0.9722222222222222,0.9915468344474783,0.821917808219178,0.981672564427249,1.7789011530112475,,annthyroid,T2,I
ThreeSigma,0.05,8,7200,360,0.918918918918919,0.9795820822539775,0.8767123287671232,0.9850346555282244,0.8888888888888888,0.987717563837325,0.7941718780202791,,annthyroid,T2,I
ThreeSigma,0.05,9,7200,360,0.9166666666666666,0.9869486356635133,0.9444444444444444,0.9932949110611831,0.8333333333333334,0.9689801307430201,0.9197739890078083,,annthyroid,T2,I
ThreeSigma,0.05,10,7200,360,0.9722222222222222,0.9892013122628673,0.9166666666666666,0.9868838851877073,0.9722222222222222,0.9911245628631642,1.0035354470019229,,annthyroid,T2,I
ThreeSigma,0.05,11,7200,360,0.7222222222222222,0.9412110362835368,0.8493150684931506,0.9841168536196234,0.9333333333333333,0.9941098112643701,1.186626726994291,,annthyroid,T2,I
ThreeSigma,0.05,12,7200,360,0.9166666666666666,0.9852465732517156,0.8888888888888888,0.9577141312436638,0.9722222222222222,0.9963569075792079,0.8097508929786272,,annthyroid,T2,I
ThreeSigma,0.05,13,7200,360,0.9722222222222222,0.9940739749995823,0.6388888888888888,0.9507891029204565,0.9166666666666666,0.9947642538110495,0.8286808309494518,,annthyroid,T2,I
ThreeSigma,0.05,14,7200,360,0.8333333333333334,0.963696431824397,0.9444444444444444,0.9921599838884981,0.8888888888888888,0.9627255067013261,0.8894606980029494,,annthyroid,T2,I
ThreeSigma,0.05,15,7200,360,0.9722222222222222,0.9898133123315008,0.918918918918919,0.9974527638882513,0.9166666666666666,0.9908952087653449,1.405513781006448,,annthyroid,T2,I
ThreeSigma,0.05,16,7200,360,0.8333333333333334,0.9707458328509656,0.958904109589041,0.9898522101789665,0.9444444444444444,0.9912029785241886,0.7482929680263624,,annthyroid,T2,I
ThreeSigma,0.05,17,7200,360,0.9166666666666666,0.9783005191286425,0.918918918918919,0.979971305913853,0.8333333333333334,0.9855263283972356,0.7205045780283399,,annthyroid,T2,I
ThreeSigma,0.05,18,7200,360,0.9166666666666666,0.9908178686953386,0.9066666666666666,0.9903577846586081,0.9444444444444444,0.9950999844895618,1.053743291995488,,annthyroid,T2,I
ThreeSigma,0.05,19,7200,360,0.9722222222222222,0.9886983935338776,0.9166666666666666,0.9937639352039599,0.9444444444444444,0.9896220517231524,0.9277784639853053,,annthyroid,T2,I
ThreeSigma,0.05,20,7200,360,0.8767123287671232,0.9869458226594253,0.8611111111111112,0.976882170629594,0.9722222222222222,0.9916949282358943,0.5972162079997361,,annthyroid,T2,I
ThreeSigma,0.05,21,7200,360,0.9166666666666666,0.9854423853302293,0.8378378378378378,0.9726593688526137,0.9722222222222222,0.9871705868509002,0.8680274169892073,,annthyroid,T2,I
ThreeSigma,0.05,22,7200,360,0.9041095890410958,0.9879970360576065,0.9444444444444444,0.9644224720662846,0.9863013698630136,0.9833405589923411,0.7399102749768645,,annthyroid,T2,I
ThreeSigma,0.05,23,7200,360,0.9166666666666666,0.9896213961877993,0.8493150684931506,0.9766951269735672,0.9459459459459459,0.9874898318916551,0.5659923760103993,,annthyroid,T2,I
ThreeSigma,0.05,24,7200,360,0.9444444444444444,0.9922975122064059,0.9444444444444444,0.9904765499700432,0.9166666666666666,0.9853375177821169,1.2138721449882723,,annthyroid,T2,I
ThreeSigma,0.05,25,7200,360,0.8493150684931506,0.9860706852214729,1.0,0.9869254806701508,0.8333333333333334,0.9768945685426302,1.2958785939845257,,annthyroid,T2,I
ThreeSigma,0.05,26,7200,360,0.9166666666666666,0.9862030942008122,0.9722222222222222,0.997070904295226,0.9444444444444444,0.9938950371680927,0.626320767973084,,annthyroid,T2,I
ThreeSigma,0.05,27,7200,360,0.8888888888888888,0.9809417667592846,0.7567567567567568,0.9583232881589643,0.9444444444444444,0.9799620602039784,0.8085175680462271,,annthyroid,T2,I
ThreeSigma,0.05,28,7200,360,0.9166666666666666,0.9803667353104178,0.8888888888888888,0.9881165944251166,0.9722222222222222,0.9930780372629663,0.8279144080006517,,annthyroid,T2,I
ThreeSigma,0.05,29,7200,360,0.9166666666666666,0.9918916390186125,0.6666666666666666,0.9529319656160334,1.0,0.993236198127401,0.9454197650193237,,annthyroid,T2,I
ThreeSigma,0.1,0,7200,720,0.9523809523809523,0.9930938358898216,0.9523809523809523,0.9938652916846349,0.8611111111111112,0.9870951850655421,0.854548194038216,,annthyroid,T2,I
ThreeSigma,0.1,1,7200,720,0.9722222222222222,0.9959861243926278,0.9793103448275862,0.9952565482148815,0.9583333333333334,0.9910020803008669,1.289824265986681,,annthyroid,T2,I
ThreeSigma,0.1,2,7200,720,0.9379310344827586,0.9957781238613055,0.9655172413793104,0.9899902006379704,0.9444444444444444,0.9960101544127112,0.8266247040010057,,annthyroid,T2,I
ThreeSigma,0.1,3,7200,720,0.9115646258503401,0.9860000415890049,0.9726027397260274,0.9981643275859529,0.875,0.9920587140655792,1.013206384028308,,annthyroid,T2,I
ThreeSigma,0.1,4,7200,720,0.8843537414965986,0.9768008321404228,0.9452054794520548,0.991951902914379,0.9166666666666666,0.9936559870636188,0.8438003979972564,,annthyroid,T2,I
ThreeSigma,0.1,5,7200,720,0.9795918367346939,0.9975962233659176,0.9103448275862069,0.9823904191802048,0.9444444444444444,0.9960530796916942,0.4954916089773178,,annthyroid,T2,I
ThreeSigma,0.1,6,7200,720,0.9379310344827586,0.9899898040707954,0.9444444444444444,0.9893316581564093,0.9583333333333334,0.9925527527488234,0.6570363999926485,,annthyroid,T2,I
ThreeSigma,0.1,7,7200,720,0.9166666666666666,0.9879055772662113,0.9861111111111112,0.9943478682091389,0.9027777777777778,0.990020875414624,1.2579135620035231,,annthyroid,T2,I
ThreeSigma,0.1,8,7200,720,0.9452054794520548,0.9911747969296636,0.9103448275862069,0.987981389512467,0.9241379310344827,0.993596416617158,0.7154990209965035,,annthyroid,T2,I
ThreeSigma,0.1,9,7200,720,0.9379310344827586,0.9977198327204203,0.9583333333333334,0.9903934680729466,0.9241379310344827,0.9968041886919241,0.9048660899861716,,annthyroid,T2,I
ThreeSigma,0.1,10,7200,720,0.9861111111111112,0.9974671088964709,1.0,0.9987946959617535,0.9241379310344827,0.9888071899813156,0.5473264280008152,,annthyroid,T2,I
ThreeSigma,0.1,11,7200,720,0.9444444444444444,0.9926706862828019,0.9444444444444444,0.9941162631703684,0.8611111111111112,0.9785282361873899,0.808534306997899,,annthyroid,T2,I
ThreeSigma,0.1,12,7200,720,0.9166666666666666,0.9912717479676311,0.9583333333333334,0.9960665674351589,0.8827586206896552,0.990749120418448,0.790311770979315,,annthyroid,T2,I
ThreeSigma,0.1,13,7200,720,0.9178082191780822,0.9836075820215474,0.9444444444444444,0.9958701824804995,0.9793103448275862,0.9936211451277959,0.5039233740535565,,annthyroid,T2,I
ThreeSigma,0.1,14,7200,720,0.9166666666666666,0.9863612899572365,0.9444444444444444,0.9946865958694451,0.9583333333333334,0.9975414167599476,0.8525634480174631,,annthyroid,T2,I
ThreeSigma,0.1,15,7200,720,0.9444444444444444,0.9807990599377245,0.9655172413793104,0.9918644128483007,0.9863013698630136,0.9980677593992571,1.0127824730006978,,annthyroid,T2,I
ThreeSigma,0.1,16,7200,720,0.9166666666666666,0.9950493743152757,0.875,0.9716568368514894,0.8888888888888888,0.9856564495643476,0.7775933140073903,,annthyroid,T2,I
ThreeSigma,0.1,17,7200,720,0.9166666666666666,0.9799186295032646,0.9027777777777778,0.9944201151570848,0.8888888888888888,0.9812740815585675,1.0047453440492973,,annthyroid,T2,I
ThreeSigma,0.1,18,7200,720,0.9305555555555556,0.997648349797592,0.9333333333333333,0.9890334432485042,0.9583333333333334,0.993919598655216,0.9765782080357894,,annthyroid,T2,I
ThreeSigma,0.1,19,7200,720,0.9722222222222222,0.9940977546706189,0.9655172413793104,0.995664274659789,0.9315068493150684,0.9954095818098703,0.9270235860021785,,annthyroid,T2,I
ThreeSigma,0.1,20,7200,720,0.9166666666666666,0.9849079379115968,0.9722222222222222,0.9942366868208737,0.9251700680272109,0.9973294151462477,0.3478426180081442,,annthyroid,T2,I
ThreeSigma,0.1,21,7200,720,0.8904109589041096,0.9906721329736701,0.9241379310344827,0.9888311953941917,0.9655172413793104,0.997878429878,0.7875590440235101,,annthyroid,T2,I
ThreeSigma,0.1,22,7200,720,0.9041095890410958,0.9831456647961595,0.875,0.9919281085727812,0.9583333333333334,0.9861280752590088,1.1251365089556202,,annthyroid,T2,I
ThreeSigma,0.1,23,7200,720,0.9166666666666666,0.9883511534793317,0.9444444444444444,0.9928596196733299,0.9583333333333334,0.9951263727135151,0.7504268449847586,,annthyroid,T2,I
ThreeSigma,0.1,24,7200,720,0.9722222222222222,0.9983623906064208,0.9655172413793104,0.9970159216408643,0.9523809523809523,0.9933316206283963,1.122591271996498,,annthyroid,T2,I
ThreeSigma,0.1,25,7200,720,0.9444444444444444,0.9943400707333162,0.9241379310344827,0.9810490410753491,0.9166666666666666,0.994830378287131,0.8478758889832534,,annthyroid,T2,I
