method,p,K,rep,n_full,n_sample_target,n_sample_actual,rho_srs,rho_tilde_srs,rho_cluster,rho_tilde_cluster,rho_icc,deff,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.05,5,0,7200,360,360.0,0.9166666666666666,0.9838711046482029,0.9166666666666666,0.9932469016674458,0.9469637256339496,68.23442452001042,0.5119319389923476,,annthyroid,T2,I
ThreeSigma,0.05,5,1,7200,360,360.0,0.9444444444444444,0.9927554544732169,0.8767123287671232,0.9907746153043193,0.9471251915692909,68.24588860141965,0.3560006170300767,,annthyroid,T2,I
ThreeSigma,0.05,5,2,7200,360,360.0,0.8888888888888888,0.9604126715314456,0.8888888888888888,0.9828932275509975,0.9471607811955344,68.24841546488294,0.3334871810511686,,annthyroid,T2,I
ThreeSigma,0.05,5,3,7200,360,360.0,0.8611111111111112,0.9659512437945839,0.9444444444444444,0.9880944610759284,0.9470009427350616,68.23706693418937,0.36347244295757264,,annthyroid,T2,I
ThreeSigma,0.05,5,4,7200,360,360.0,1.0,0.9946775653739619,0.9444444444444444,0.9927396258836129,0.9471271768523309,68.2460295565155,0.3696316399727948,,annthyroid,T2,I
ThreeSigma,0.05,5,5,7200,360,360.0,0.9166666666666666,0.9642869774365462,0.9166666666666666,0.9873556773897719,0.947008556491921,68.23760751092638,0.31814684002893046,,annthyroid,T2,I
ThreeSigma,0.05,5,6,7200,360,360.0,0.9066666666666666,0.9822756630373879,0.8888888888888888,0.9755873558901041,0.947008556491921,68.23760751092638,0.3437925899634138,,annthyroid,T2,I
ThreeSigma,0.05,5,7,7200,360,360.0,0.9866666666666667,0.9924447675238791,0.9166666666666666,0.9941419448854382,0.9471348138710334,68.24657178484337,0.4436996080330573,,annthyroid,T2,I
ThreeSigma,0.05,5,8,7200,360,360.0,0.918918918918919,0.9795820822539775,0.8888888888888888,0.986933455323855,0.9470078624039663,68.2375582306816,0.27757204498630017,,annthyroid,T2,I
ThreeSigma,0.05,5,9,7200,360,360.0,0.9166666666666666,0.9869486356635133,0.9444444444444444,0.9836968173580756,0.9469704543284426,68.23490225731943,0.24874677398474887,,annthyroid,T2,I
ThreeSigma,0.05,5,10,7200,360,360.0,0.9722222222222222,0.9892013122628673,0.9166666666666666,0.9939557079454979,0.9470284945732788,68.23902311470279,0.2748735839850269,,annthyroid,T2,I
ThreeSigma,0.05,5,11,7200,360,360.0,0.7222222222222222,0.9412110362835368,0.958904109589041,0.9876609436236701,0.9470113748557415,68.23780761475764,0.3498884699656628,,annthyroid,T2,I
ThreeSigma,0.05,5,12,7200,360,360.0,0.9166666666666666,0.9852465732517156,0.9444444444444444,0.9931541476832053,0.9471430553437862,68.24715692940882,0.2976309530204162,,annthyroid,T2,I
ThreeSigma,0.05,5,13,7200,360,360.0,0.9722222222222222,0.9940739749995823,0.9166666666666666,0.9952249570843718,0.9470113748557415,68.23780761475764,0.18350001698127016,,annthyroid,T2,I
ThreeSigma,0.05,5,14,7200,360,360.0,0.8333333333333334,0.963696431824397,0.9166666666666666,0.9774310157642178,0.9470113748557415,68.23780761475764,0.3090746279922314,,annthyroid,T2,I
ThreeSigma,0.05,5,15,7200,360,360.0,0.9722222222222222,0.9898133123315008,0.9166666666666666,0.9882524753340522,0.9470078624039662,68.2375582306816,0.3878483329899609,,annthyroid,T2,I
ThreeSigma,0.05,5,16,7200,360,360.0,0.8333333333333334,0.9707458328509656,0.9041095890410958,0.9832018276413095,0.9470113748557415,68.23780761475764,0.2205521339783445,,annthyroid,T2,I
ThreeSigma,0.05,5,17,7200,360,360.0,0.9166666666666666,0.9783005191286425,0.9444444444444444,0.9897486005053248,0.9470113748557415,68.23780761475764,0.2026539709768258,,annthyroid,T2,I
ThreeSigma,0.05,5,18,7200,360,360.0,0.9166666666666666,0.9908178686953386,0.9722222222222222,0.9938821396367726,0.9471271768523309,68.2460295565155,0.25033662701025605,,annthyroid,T2,I
ThreeSigma,0.05,5,19,7200,360,360.0,0.9722222222222222,0.9886983935338776,0.9444444444444444,0.9964536612770375,0.9471271768523309,68.2460295565155,0.397190566000063,,annthyroid,T2,I
ThreeSigma,0.05,5,20,7200,360,360.0,0.8767123287671232,0.9869458226594253,0.9166666666666666,0.9945942310142218,0.9469676229455205,68.23470122913196,0.20695021603023633,,annthyroid,T2,I
ThreeSigma,0.05,5,21,7200,360,360.0,0.9166666666666666,0.9854423853302293,0.958904109589041,0.9951742945598799,0.9470284945732788,68.23902311470279,0.27578147797612473,,annthyroid,T2,I
ThreeSigma,0.05,5,22,7200,360,360.0,0.9041095890410958,0.9879970360576065,0.9722222222222222,0.9908274850784369,0.9470284945732788,68.23902311470279,0.33551501197507605,,annthyroid,T2,I
ThreeSigma,0.05,5,23,7200,360,360.0,0.9166666666666666,0.9896213961877993,0.9166666666666666,0.9883216814953747,0.9470078624039662,68.2375582306816,0.2898976099677384,,annthyroid,T2,I
ThreeSigma,0.05,5,24,7200,360,360.0,0.9444444444444444,0.9922975122064059,0.9444444444444444,0.9875744660758525,0.9471271768523309,68.2460295565155,0.23124189802911133,,annthyroid,T2,I
ThreeSigma,0.05,5,25,7200,360,360.0,0.8493150684931506,0.9860706852214729,0.9166666666666666,0.9771789602284866,0.9470284945732788,68.23902311470279,0.320605629007332,,annthyroid,T2,I
ThreeSigma,0.05,5,26,7200,360,360.0,0.9166666666666666,0.9862030942008122,0.958904109589041,0.9946477658535281,0.9470078624039662,68.2375582306816,0.264666389033664,,annthyroid,T2,I
ThreeSigma,0.05,5,27,7200,360,360.0,0.8888888888888888,0.9809417667592846,0.9444444444444444,0.9786169680681521,0.947008556491921,68.23760751092638,0.18904462602222338,,annthyroid,T2,I
ThreeSigma,0.05,5,28,7200,360,360.0,0.9166666666666666,0.9803667353104178,0.8611111111111112,0.9406028501210586,0.9471225285123367,68.24569952437591,0.20375561498804018,,annthyroid,T2,I
ThreeSigma,0.05,5,29,7200,360,360.0,0.9166666666666666,0.9918916390186125,0.821917808219178,0.9778790095948967,0.9470313409321278,68.23922520618108,0.2193374140188098,,annthyroid,T2,I
ThreeSigma,0.1,5,0,7200,720,720.0,0.9523809523809523,0.9930938358898216,0.9517241379310345,0.9964610472863279,0.9015876267820263,129.92703062982977,0.3832529509672895,,annthyroid,T2,I
ThreeSigma,0.1,5,1,7200,720,720.0,0.9722222222222222,0.9959861243926278,0.8611111111111112,0.9851009926956644,0.9018213933894043,129.96045925468482,0.2782851409865543,,annthyroid,T2,I
ThreeSigma,0.1,5,2,7200,720,720.0,0.9379310344827586,0.9957781238613055,0.9583333333333334,0.9945629621418068,0.9018752966083605,129.96816741499555,0.23088163003558293,,annthyroid,T2,I
ThreeSigma,0.1,5,3,7200,720,720.0,0.9115646258503401,0.9860000415890049,0.9166666666666666,0.9874441564456196,0.9016417294972191,129.93476731810233,0.28121203399496153,,annthyroid,T2,I
