tier,method_class,method,mean_rho,std_rho,mean_rho_tilde,std_rho_tilde,n_valid
T1,I,BoxPlot,0.7783074743715476,0.3332759589722281,0.746792531861846,0.22890470056516923,200
T1,I,ChiSquare,0.79,0.31403072893556333,0.9041297514390249,0.10891035479629099,200
T1,I,MAD,0.8394070381164191,0.30413521871133103,0.8886082480971471,0.17184396649077727,200
T1,I,ThreeSigma,0.6869460670908039,0.3470282337778499,0.8588171603911191,0.15108860826199247,200
T1,II,COPOD,0.6808333333333333,0.38093067582937973,0.8871621745112167,0.1191040946841663,200
T1,II,ECOD,0.6676666666666666,0.3815966047183224,0.9224233734395865,0.07582045992642396,200
T1,II,HBOS,0.5671666666666667,0.37013703379369434,0.7246669913071007,0.2628475897835851,200
T1,III,EIF,0.5586029090448595,0.37501025961753287,0.9035584819662933,0.09558980625502829,200
T1,III,IForest,0.7216666666666667,0.30586578840020573,0.8693580406542982,0.13833606702431264,200
T1,IV,ABOD,0.485,0.42209694282916643,0.49961208044359284,0.46396733805028495,200
T1,IV,ADOD,0.3908260073260073,0.3581971725624358,0.3324019475072935,0.21430718198366275,200
T1,IV,FeatureBagging,0.20640268065268064,0.29490033552018957,0.2653437856008181,0.33240089045258253,200
T1,IV,KMeans,0.1383333333333333,0.21075891159403848,0.15488052287086526,0.44559912022533915,200
T1,IV,KNN,0.6739102564102564,0.31944312753416054,0.8113265082046658,0.1443892624376963,200
T1,IV,LOF,0.2096578323637147,0.3009493471438355,0.13557368471568224,0.307588577951306,200
T1,IV,Mahalanobis,0.545,0.37796289024011326,0.6355809011849078,0.46720235010339545,200
T1,IV,OCSVM,0.8358333333333333,0.25802448171797415,0.8928083382048514,0.09435799958892739,200
T1,IV,ROD,0.3325,0.33354160160315827,0.7830455267985705,0.15333105394208915,200
T2,I,BoxPlot,0.7930454663354864,0.25900956356630983,0.8973137711110221,0.10492708863295697,400
T2,I,ChiSquare,0.9143944256756756,0.08775551666118696,0.9878428184228444,0.013712582384532547,400
T2,I,MAD,0.8935327201739822,0.17924496995414016,0.9460805261837719,0.07656203664703878,400
T2,I,ThreeSigma,0.8477082492288459,0.14493028062351954,0.9714767431848302,0.024853712009116746,400
T2,II,COPOD,0.8638071428571428,0.13319710944782742,0.9678715129917204,0.03828804026912299,350
T2,II,ECOD,0.8856771557271558,0.11343797891279699,0.9846648021629835,0.017769770551344398,350
T2,II,HBOS,0.6579361653077072,0.30742921936758505,0.8417363871503258,0.18640887613634352,400
T2,III,EIF,0.6345660511997145,0.1544062508955282,0.9252745611130722,0.051742514235422754,400
T2,III,IForest,0.802308445945946,0.1296260910396932,0.9296545516760214,0.04090061212946422,400
T2,IV,ABOD,0.5935486486486486,0.1675632961446809,0.7485058357148869,0.140321581905846,400
T2,IV,ADOD,0.2136985146496016,0.11893686339843809,0.3260616997490777,0.14858858525597773,400
T2,IV,FeatureBagging,0.3950131756756757,0.16264297622163307,0.5578720706007146,0.13540508315075667,400
T2,IV,KMeans,0.657901295045045,0.23061975767332166,0.777623632927166,0.19820454015741013,400
T2,IV,KNN,0.6642507205015472,0.18565348625545702,0.7968993990631823,0.10201962603624615,400
T2,IV,LOF,0.40853941441441444,0.17449217296199537,0.5070001787041248,0.145236138265956,400
T2,IV,Mahalanobis,0.7812092905405406,0.2023412186785163,0.9141392154695461,0.10828355993607998,400
T2,IV,OCSVM,0.9054179054054055,0.09945980148469663,0.9855644502882415,0.014536656282655235,400
T2,IV,ROD,0.5632189752252252,0.16372700290085002,0.8345396092367523,0.11139854811636843,400
T3,I,BoxPlot,0.9769678248703929,0.042603957175100925,0.9813677182657149,0.027207529981077283,200
T3,I,ChiSquare,0.9511524752475248,0.04007747554931492,0.9745322034304629,0.04409544742969155,200
T3,I,MAD,0.8736885299837681,0.2701816837148634,0.9065169802834522,0.23840186207408842,200
T3,I,ThreeSigma,0.9124414530143852,0.08498224482777479,0.9494487094226142,0.08030175629046027,200
T3,II,COPOD,0.8612702970297029,0.14037298647990773,0.9425514403984869,0.07314237078049535,200
T3,II,ECOD,0.937469306930693,0.03554725566099675,0.9944073917041618,0.002990083726946229,200
T3,II,HBOS,0.7812053625179053,0.13803517582604996,0.8762475495878158,0.10401011980050602,200
T3,III,EIF,0.7440377269783386,0.12677242117551446,0.9794576483491152,0.009595107685772495,200
T3,III,IForest,0.8861811881188119,0.04656409994885534,0.9683503067207027,0.012386541129490078,200
T3,IV,ABOD,0.4156850201396822,0.259615023699281,0.5461447534376772,0.3072262500540753,200
T3,IV,ADOD,0.1818841177497376,0.0005684517215299025,,,200
T3,IV,FeatureBagging,0.31308712871287125,0.15790013350161758,0.3754881573359188,0.16201648025336118,200
T3,IV,KMeans,0.7321,0.11505554699566797,0.8130903946220451,0.1297897499927496,200
T3,IV,KNN,0.5750852449164435,0.12380271110521075,0.7774747738886809,0.12043719750722164,200
T3,IV,LOF,0.3147742574257426,0.07589842574667259,0.30719329507825593,0.09736807423341523,200
T3,IV,Mahalanobis,0.9071653271209473,0.05397443097614206,0.9754431221516827,0.02897514217496572,200
T3,IV,OCSVM,0.9740069306930692,0.03109524339873671,0.9915172737092081,0.007822584747834765,200
T3,IV,ROD,0.731328009642769,0.12679407085361963,0.7754853845547878,0.21384754582014273,200
