method_class,p,mean_rho,std_rho,mean_rho_tilde
I,0.01,0.6976612978014632,0.35233470973555814,0.7840314562385474
I,0.05,0.7973176507201882,0.3069612553868116,0.8821717307118127
I,0.1,0.859989096613672,0.22685699633608408,0.9243228721604804
II,0.01,0.6003420492550927,0.35759748188792795,0.750659089279475
II,0.05,0.709410431247977,0.3391969021954627,0.8523771434505949
II,0.1,0.7640510819478329,0.28024526512161774,0.9116816567637362
III,0.01,0.629469696969697,0.2940975716928428,0.8087627141579482
III,0.05,0.6532656968236012,0.31503680089265246,0.8928284626043886
III,0.1,0.7190955328237015,0.22674282479158303,0.9282597213067534
IV,0.01,0.4226423460798461,0.324714563538859,0.4282523584733201
IV,0.05,0.45985868055035295,0.3479126802406752,0.5663219973431951
IV,0.1,0.5375014477887342,0.3130169234615875,0.6724931141979027
