method,dataset,threshold_pct,mean_rho,mean_rho_tilde
IForest,annthyroid,0.05,0.8784000000000001,0.9714331238156775
IForest,annthyroid,0.08,0.8985,0.9714331238156775
IForest,annthyroid,0.1,0.8996,0.9714331238156775
IForest,annthyroid,0.12,0.9059999999999999,0.9714331238156775
IForest,annthyroid,0.15,0.9096,0.9714331238156775
IForest,satellite,0.05,0.792,0.924958235512942
IForest,satellite,0.08,0.863,0.924958235512942
IForest,satellite,0.1,0.8908,0.924958235512942
IForest,satellite,0.12,0.9179999999999999,0.924958235512942
IForest,satellite,0.15,0.9285333333333334,0.924958235512942
IForest,shuttle,0.05,0.8832000000000001,0.9651895884959609
IForest,shuttle,0.08,0.9285,0.9651895884959609
IForest,shuttle,0.1,0.9208,0.9651895884959609
IForest,shuttle,0.12,0.9163333333333332,0.9651895884959609
IForest,shuttle,0.15,0.9130666666666667,0.9651895884959609
IForest,skin,0.05,0.8756392156862745,0.9753279181899319
IForest,skin,0.08,0.8938148148148148,0.9753279181899319
IForest,skin,0.1,0.8875247524752475,0.9753279181899319
IForest,skin,0.12,0.8984573002754821,0.9753279181899319
IForest,skin,0.15,0.9094246461498507,0.9753279181899319
IForest,smtp,0.05,0.8832000000000001,0.9769991553935031
IForest,smtp,0.08,0.889,0.9769991553935031
IForest,smtp,0.1,0.8916,0.9769991553935031
IForest,smtp,0.12,0.8983333333333333,0.9769991553935031
IForest,smtp,0.15,0.9104000000000001,0.9769991553935031
LOF,annthyroid,0.05,0.5288,0.646041219236921
LOF,annthyroid,0.08,0.5820000000000001,0.646041219236921
LOF,annthyroid,0.1,0.6052000000000001,0.646041219236921
LOF,annthyroid,0.12,0.6173333333333333,0.646041219236921
LOF,annthyroid,0.15,0.6170666666666667,0.646041219236921
LOF,satellite,0.05,0.3648,0.6369598196876853
LOF,satellite,0.08,0.4045,0.6369598196876853
LOF,satellite,0.1,0.44,0.6369598196876853
LOF,satellite,0.12,0.4643333333333334,0.6369598196876853
LOF,satellite,0.15,0.49973333333333336,0.6369598196876853
LOF,shuttle,0.05,0.4168,0.4038390134280646
LOF,shuttle,0.08,0.4,0.4038390134280646
LOF,shuttle,0.1,0.39399999999999996,0.4038390134280646
LOF,shuttle,0.12,0.403,0.4038390134280646
LOF,shuttle,0.15,0.4104,0.4038390134280646
LOF,skin,0.05,0.11036862745098039,0.18385851741842127
LOF,skin,0.08,0.2219506172839506,0.18385851741842127
LOF,skin,0.1,0.2718970297029703,0.18385851741842127
LOF,skin,0.12,0.298,0.18385851741842127
LOF,skin,0.15,0.3140277913326362,0.18385851741842127
LOF,smtp,0.05,0.2416,0.26785413649230305
LOF,smtp,0.08,0.294,0.26785413649230305
LOF,smtp,0.1,0.314,0.26785413649230305
LOF,smtp,0.12,0.336,0.26785413649230305
LOF,smtp,0.15,0.3712,0.26785413649230305
