method,method_class,p,mean_rho,std_rho,mean_rho_tilde
BoxPlot,I,0.01,0.9846432219922214,0.020970528592377545,0.985102511352492
BoxPlot,I,0.05,0.9935393265900708,0.00991704965857813,0.9948962203028696
BoxPlot,I,0.1,0.9969803206482365,0.006085547081489276,0.9976536516747083
COPOD,II,0.01,0.9624286858383254,0.0751742366595931,0.9923336263177951
COPOD,II,0.05,0.9325049175886909,0.12487222367273243,0.9711550258974423
COPOD,II,0.1,0.9357773433395326,0.1294940979347187,0.9712179963928573
ChiSquare,I,0.01,0.9767902170913433,0.020348457860236372,0.9980463444560169
ChiSquare,I,0.05,0.986973191124067,0.010697380007571006,0.9993912188533528
ChiSquare,I,0.1,0.9916606305961552,0.007047142910381139,0.9997522808406815
ECOD,II,0.01,0.9661143247210335,0.021106819713413345,0.9983316770817058
ECOD,II,0.05,0.9844249284550037,0.007149430211889831,0.9996753893588821
ECOD,II,0.1,0.9904103735040669,0.004994256470073101,0.9998718370905465
EIF,III,0.01,0.7451691261976868,0.12134864667410579,0.9825536516878136
EIF,III,0.05,0.7689140685254017,0.11667261187265258,0.9838680491452619
EIF,III,0.1,0.746497207181504,0.10727055042030291,0.98498967151979
HBOS,II,0.01,0.7548985296046109,0.17133983284327475,0.8560522060626982
HBOS,II,0.05,0.8107346395173941,0.13839290200877458,0.9062867076540851
HBOS,II,0.1,0.8540183300191265,0.130685673224163,0.9375797462503589
IForest,III,0.01,0.8960132203754437,0.03126248821117273,0.9768130772711722
IForest,III,0.05,0.9003386842334546,0.030409803241788644,0.977468354250263
IForest,III,0.1,0.9017427308370932,0.03144092102444363,0.9781444713347618
MAD,I,0.01,0.9029379777673215,0.25182302536631657,0.9200725487779724
MAD,I,0.05,0.8849830320466658,0.2848705267381995,0.895709864491492
MAD,I,0.1,0.9416852219615035,0.2101878038533649,0.9474518711053296
ThreeSigma,I,0.01,0.9576324405994839,0.033700069868577834,0.9944926673090115
ThreeSigma,I,0.05,0.9856374996468529,0.012740709043794455,0.9963301049663732
ThreeSigma,I,0.1,0.9897092820324895,0.01124777920340127,0.9977918782949939
